symbol,Market Capitalization (in Crores),,,
PGHL,2448.91,,,
PGIL,262.57,,,
PHOENIXLTD,9494.66,,,
PIDILITIND,45378.59,,,
PIIND,11308.40,,,
PILANIINVS,2297.29,,,
PITTIENG,230.44,,,
PIXTRANS,255.61,,,
PLASTIBLEN,527.45,,,
PLATIND,,,,
PNB,38651.73,,,
PNBGILTS,693.04,,,
PNBHOUSING,20470.15,,,
PNCINFRA,4335.51,,,
POCL,319.23,,,
POKARNA,658.21,,,
POLICYBZR,,,,
POLYCAB,,,,
POLYMED,2259.05,,,
POLYPLEX,1542.30,,,
POONAWALLA,3772.31,,,
POWERGRID,101074.31,,,
POWERINDIA,,,,
POWERMECH,1209.30,,,
PPL,,,,
PPLPHARMA,,,,
PRAJIND,1760.21,,,
PRAKASH,3171.75,,,
PRECAM,1115.82,,,
PRECOT,93.66,,,
PRECWIRE,622.12,,,
PREMEXPLN,437.67,,,
PRESTIGE,11088.75,,,
PRICOLLTD,920.00,,,
PRIMESECU,134.43,,,
PRINCEPIPE,,,,
PRIVISCL,1650.50,,,
PRSMJOHNSN,6729.88,,,
PRUDENT,,,,
PSB,1669.71,,,
PSPPROJECT,1853.10,,,
PTC,2850.56,,,
PTCIL,275.16,,,
PTL,362.38,,,
PUNJABCHEM,539.54,,,
PURVA,3713.76,,,
PVP,169.55,,,
PVRINOX,6609.54,,,
PVSL,,,,
PYRAMID,,,,
QUESS,14018.13,,,
QUICKHEAL,2180.99,,,
RACE,,,,
RADHIKAJWE,79.30,,,
RADIANTCMS,,,,
RADICO,4512.45,,,
RADIOCITY,2061.39,,,
RAILTEL,,,,
RAIN,12895.49,,,
RAINBOW,,,,
RAJESHEXPO,23938.20,,,
RAJRATAN,254.17,,,
RAJRILTD,,,,
RALLIS,4531.13,,,
RAMASTEEL,368.04,,,
RAMCOCEM,17082.85,,,
RAMCOIND,2284.87,,,
RAMCOSYS,1407.18,,,
RAMKY,1148.53,,,
RAMRAT,401.94,,,
RANEHOLDIN,3642.77,,,
RATEGAIN,,,,
RATNAMANI,4598.97,,,
RATNAVEER,,,,
RAYMOND,5930.93,,,
RBA,,,,
RBL,831.51,,,
RBLBANK,20303.59,,,
RBZJEWEL,,,,
RCF,4785.89,,,
RECLTD,29732.39,,,
REDINGTON,5758.48,,,
REDTAPE,,,,
REFEX,28.94,,,
RELAXO,7309.08,,,
RELIANCE,520064.00,,,
RELIGARE,844.09,,,
RELINFRA,11648.90,,,
REMSONSIND,53.51,,,
RENUKA,2231.45,,,
REPCOHOME,3694.56,,,
REPRO,810.72,,,
RESPONIND,973.86,,,
RGL,601.31,,,
RHIM,1927.03,,,
RICOAUTO,1182.39,,,
RIIL,723.59,,,
RISHABH,,,,
RITCO,,,,
RITES,,,,
RKFORGE,2593.96,,,
RKSWAMY,,,,
RML,974.22,,,
ROHLTD,543.17,,,
ROLEXRINGS,,,,
ROSSARI,,,,
ROSSELLIND,371.37,,,
ROTO,176.10,,,
ROUTE,,,,
RPGLIFE,739.21,,,
RPOWER,11837.63,,,
RPPINFRA,659.49,,,
RPSGVENT,,,,
RPTECH,,,,
RRKABEL,,,,
RSSOFTWARE,171.60,,,
RSWM,823.69,,,
RSYSTEMS,495.81,,,
RTNINDIA,839.04,,,
RTNPOWER,1835.30,,,
RUBYMILLS,572.16,,,
RUPA,3437.05,,,
RUSHIL,1355.60,,,
RUSTOMJEE,,,,
RVNL,,,,
SADBHAV,6970.06,,,
SADHNANIQ,195.20,,,
SAFARI,1168.01,,,
SAGCEM,2001.55,,,
SAIL,35522.52,,,
SAKAR,68.84,,,
SAKSOFT,233.10,,,
SAKUMA,410.09,,,
SALASAR,423.67,,,
SALZERELEC,294.28,,,
SAMHI,,,,
SANDESH,871.77,,,
SANDHAR,,,,
SANDUMA,1103.68,,,
SANGAMIND,579.30,,,
SANGHIIND,3069.73,,,
SANGHVIMOV,734.81,,,
SANOFI,10928.84,,,
SANSERA,,,,
SAPPHIRE,,,,
SARDAEN,1994.78,,,
SAREGAMA,1276.01,,,
SARLAPOLY,534.42,,,
SARVESHWAR,,,,
SASKEN,1223.72,,,
SASTASUNDR,329.72,,,
SATIA,,,,
SATIN,2007.75,,,
SATINDLTD,389.06,,,
SAURASHCEM,635.17,,,
SBC,,,,
SBCL,386.33,,,
SBFC,,,,
SBICARD,,,,
SBILIFE,71500.00,,,
SBIN,260170.10,,,
SCHAEFFLER,8998.42,,,
SCHAND,1623.95,,,
SCHNEIDER,2682.75,,,
SCI,3551.72,,,
SCILAL,,,,
SCPL,138.18,,,
SDBL,689.02,,,
SEAMECLTD,427.78,,,
SELAN,368.92,,,
SENCO,,,,
SEPC,2691.14,,,
SEQUENT,1889.87,,,
SERVOTECH,62.26,,,
SESHAPAPER,1155.47,,,
SFL,7804.76,,,
SGIL,,,,
SHAILY,995.30,,,
SHAKTIPUMP,1085.81,,,
SHALBY,2559.83,,,
SHALPAINTS,337.62,,,
SHANKARA,4105.57,,,
SHANTIGEAR,1182.02,,,
SHARDACROP,3565.51,,,
SHARDAMOTR,1395.51,,,
SHAREINDIA,,,,
SHILPAMED,4160.99,,,
SHIVALIK,297.91,,,
SHIVAMAUTO,804.00,,,
SHK,4096.38,,,
SHOPERSTOP,4666.68,,,
SHREDIGCEM,373.23,,,
SHREECEM,59240.88,,,
SHREEPUSHK,754.43,,,
TRANSWORLD,1252.46,,,
SHRIPISTON,3961.59,,,
SHRIRAMFIN,30294.52,,,
SHRIRAMPPS,,,,
SHYAMMETL,,,,
SIEMENS,43660.34,,,
SIGACHI,,,,
SIGNATURE,,,,
SIGNPOST,,,,
SILINV,457.37,,,
SILVERTUC,153.66,,,
SIMPLEXINF,2866.67,,,
SINCLAIR,244.63,,,
SINDHUTRAD,,,,
SIRCA,,,,
SIS,8798.15,,,
SIYSIL,3152.72,,,
SJS,,,,
SJVN,15098.69,,,
SKFINDIA,8853.49,,,
SKIPPER,2552.78,,,
SKMEGGPROD,215.12,,,
SKYGOLD,,,,
SMCGLOBAL,,,,
SMLISUZU,1193.69,,,
SMSPHARMA,813.93,,,
SNOWMAN,871.36,,,
SOBHA,5309.95,,,
SOLARA,,,,
SOLARINDS,9501.91,,,
SOMANYCERA,2918.25,,,
SONACOMS,,,,
SONATSOFTW,3014.33,,,
SOTL,2175.35,,,
SOUTHBANK,5010.46,,,
SPAL,882.00,,,
SPANDANA,,,,
SPARC,10840.75,,,
SPCENET,,,,
SPECIALITY,622.66,,,
SPENCERS,,,,
SPIC,831.87,,,
SPLPETRO,3508.81,,,
SPMLINFRA,448.05,,,
SPORTKING,,,,
SREEL,661.58,,,
SRF,10598.10,,,
SRGHFL,408.33,,,
SRHHYPOLTD,298.59,,,
SSWL,1634.65,,,
STANLEY,,,,
STAR,6372.75,,,
STARCEMENT,5441.59,,,
STARHEALTH,,,,
STCINDIA,936.60,,,
STEELCAS,366.75,,,
STEELXIND,239.73,,,
STEL,203.93,,,
STERTOOLS,1445.65,,,
STLTECH,13323.20,,,
STOVEKRAFT,,,,
STYLAMIND,563.43,,,
STYRENIX,1689.10,,,
SUBEXLTD,504.68,,,
SUBROS,2152.99,,,
SUDARSCHEM,3145.34,,,
SUKHJITS,402.16,,,
SULA,,,,
SUMICHEM,,,,
SUMMITSEC,974.13,,,
SUNCLAY,,,,
SUNDARMFIN,18340.47,,,
SUNDARMHLD,,,,
SUNDRMFAST,11022.28,,,
SUNFLAG,1345.34,,,
SUNPHARMA,140141.75,,,
SUNTECK,5450.54,,,
SUNTV,39666.59,,,
SUPRAJIT,4007.35,,,
SUPREMEIND,15080.63,,,
SUPRIYA,,,,
SURAJEST,,,,
SURYAROSNI,2550.42,,,
SURYODAY,,,,
SUTLEJTEX,1399.92,,,
SUVEN,2518.28,,,
SUVENPHAR,,,,
SUZLON,7048.70,,,
SWANENERGY,4781.33,,,
SWARAJENG,2489.57,,,
SWELECTES,435.11,,,
SWSOLAR,,,,
SYMPHONY,11960.20,,,
SYNCOMF,128.81,,,
SYNGENE,11941.19,,,
SYRMA,,,,
TAJGVK,1091.95,,,
TALBROAUTO,382.41,,,
TANLA,366.50,,,
TARACHAND,,,,
TARC,,,,
TARSONS,,,,
TASTYBITE,2165.01,,,
TATACHEM,18052.03,,,
TATACOMM,17640.08,,,
TATACONSUM,17700.03,,,
TATAELXSI,6189.84,,,
TATAINVEST,4411.20,,,
TATAMOTORS,118987.08,,,
TATAPOWER,23017.62,,,
TATASTEEL,65202.58,,,
TATATECH,,,,
TATVA,,,,
TBOTEK,,,,
TBZ,783.75,,,
TCI,2105.11,,,
TCIEXP,1937.22,,,
TCLCONS,48.57,,,
TCPLPACK,572.44,,,
TCS,569347.42,,,
TDPOWERSYS,722.59,,,
TEAMLEASE,3781.98,,,
TECHM,53702.09,,,
TECHNOE,,,,
TEGA,,,,
TEJASNET,3357.40,,,
TEXINFRA,809.16,,,
TEXRAIL,2061.99,,,
TFCILTD,1267.25,,,
THANGAMAYL,702.37,,,
THEINVEST,1157.47,,,
THEJO,,,,
THEMISMED,545.50,,,
THERMAX,13489.01,,,
THOMASCOOK,8726.96,,,
THYROCARE,3593.57,,,
TI,230.80,,,
VEEDOL,2275.17,,,
TIIL,1489.63,,,
TIINDIA,4911.58,,,
TIMETECHNO,4066.12,,,
TIMKEN,5653.86,,,
TIPSMUSIC,133.52,,,
TIRUMALCHM,2044.90,,,
TITAGARH,1561.48,,,
TITAN,71080.60,,,
TMB,,,,
TNPETRO,568.62,,,
TNPL,2901.31,,,
TORNTPHARM,23217.93,,,
TORNTPOWER,12375.88,,,
TPLPLASTEH,389.86,,,
TRACXN,,,,
TREL,,,,
TRENT,10494.56,,,
TRIDENT,3760.82,,,
TARIL,454.03,,,
TRITURBINE,4185.70,,,
TRIVENI,1680.51,,,
TRU,,,,
TTKHLTCARE,760.10,,,
TTKPRESTIG,8059.60,,,
TTML,1294.16,,,
TV18BRDCST,9377.55,,,
TVSELECT,691.93,,,
TVSHLTD,10085.19,,,
TVSMOTOR,31617.05,,,
TVSSCS,,,,
TVSSRICHAK,2741.57,,,
TVTODAY,2724.98,,,
UBL,27978.03,,,
UCOBANK,5516.65,,,
UDS,,,,
UFLEX,2736.82,,,
UFO,1273.09,,,
UGARSUGAR,251.44,,,
UGROCAP,,,,
UJJIVANSFB,,,,
ULTRACEMCO,114417.76,,,
UNICHEMLAB,3381.49,,,
UNIENTER,615.48,,,
UNIONBANK,10709.76,,,
UNIPARTS,,,,
UNITDSPR,44752.47,,,
UNITECH,1967.46,,,
UNIVCABLES,537.78,,,
UNOMINDA,9660.34,,,
UPL,36462.48,,,
URJA,377.87,,,
USHAMART,691.76,,,
UTIAMC,,,,
UTKARSHBNK,,,,
UTTAMSUGAR,438.97,,,
V2RETAIL,1322.65,,,
VADILALIND,611.22,,,
VAIBHAVGBL,2256.95,,,
VAKRANGEE,20371.37,,,
VALIANTLAB,,,,
VALIANTORG,310.97,,,
VARROC,,,,
VASCONEQ,689.28,,,
VBL,12246.04,,,
VEDL,116761.89,,,
VENKEYS,3995.45,,,
VENUSPIPES,,,,
VERANDA,,,,
VERTOZ,,,,
VESUVIUS,2652.49,,,
VGUARD,9274.45,,,
VHL,1509.79,,,
VIDHIING,443.76,,,
VIJAYA,,,,
VIKASECO,1074.81,,,
VIKASLIFE,,,,
VIMTALABS,430.55,,,
VINATIORGA,4498.26,,,
VINDHYATEL,1279.83,,,
VINYLINDIA,213.99,,,
VIPIND,5006.17,,,
VIPULLTD,863.89,,,
VISAKAIND,1081.33,,,
VISHNU,446.54,,,
VLEGOV,,,,
VLSFINANCE,324.57,,,
VMART,2676.96,,,
VOLTAMP,1052.89,,,
VOLTAS,19859.70,,,
VPRPL,,,,
VRLLOG,3908.26,,,
VSSL,475.94,,,
VSTIND,4956.86,,,
VSTTILLERS,2120.53,,,
VTL,7234.33,,,
WABAG,3117.90,,,
WALCHANNAG,706.39,,,
WANBURY,100.08,,,
WEALTH,,,,
WEBELSOLAR,245.15,,,
WELCORP,4405.41,,,
WELENT,2304.47,,,
WELSPUNLIV,6796.97,,,
WENDT,561.72,,,
WESTLIFE,5355.48,,,
WHEELS,2700.71,,,
WHIRLPOOL,18414.18,,,
WINDLAS,,,,
WINDMACHIN,697.37,,,
WIPRO,130303.13,,,
WOCKPHARMA,8754.29,,,
WONDERLA,2086.00,,,
WSI,15.35,,,
WSTCSTPAPR,1845.74,,,
XCHANGING,644.47,,,
XPROINDIA,64.50,,,
YASHO,,,,
YATHARTH,,,,
YATRA,,,,
YESBANK,77079.44,,,
YUKEN,1351.79,,,
ZAGGLE,,,,
ZEEL,56167.33,,,
ZEEMEDIA,2097.37,,,
ZENSARTECH,4225.17,,,
ZENTEC,909.33,,,
ZFCVINDIA,13922.30,,,
ZIMLAB,,,,
ZOMATO,,,,
ZOTA,362.27,,,
ZUARI,2031.19,,,
ZUARIIND,646.66,,,
ZYDUSLIFE,41482.05,,,
ZYDUSWELL,4476.68,,,
