symbol,Market Capitalization (in Crores),,,
CEATLTD,6199.58,,,
CELLO,,,,
CENTENKA,730.47,,,
CENTRALBK,13183.92,,,
CENTRUM,2893.51,,,
CENTUM,815.30,,,
CENTURYPLY,7277.28,,,
ABREL,14108.84,,,
CERA,4343.18,,,
CESC,13153.64,,,
CGCL,1855.55,,,
CGPOWER,5565.51,,,
CHALET,,,,
CHAMBLFERT,6517.81,,,
CHEMBOND,340.71,,,
CHEMCON,,,,
CHEMFAB,,,,
CHEMPLASTS,,,,
CHENNPETRO,5567.05,,,
CHEVIOT,614.61,,,
CHOICEIN,320.58,,,
CHOLAFIN,20492.44,,,
CHOLAHLDNG,12600.73,,,
CIEINDIA,8178.41,,,
CIGNITITEC,738.95,,,
CIPLA,49318.02,,,
CLEAN,,,,
CLSEL,816.36,,,
CMSINFO,,,,
COALINDIA,186222.28,,,
COCHINSHIP,7212.38,,,
COFFEEDAY,7046.30,,,
COFORGE,5086.11,,,
COLPAL,29945.62,,,
CONCOR,32691.08,,,
CONCORDBIO,,,,
CONFIPET,804.98,,,
CONSOFINVT,232.91,,,
CONTROLPR,751.83,,,
COROMANDEL,15949.83,,,
COSMOFIRST,634.91,,,
CRAFTSMAN,,,,
CREATIVE,,,,
CREDITACC,,,,
CREST,574.90,,,
CRISIL,14202.60,,,
CROMPTON,15230.33,,,
CSBBANK,,,,
CSLFINANCE,357.79,,,
CUB,10764.87,,,
CUMMINSIND,23291.73,,,
CUPID,329.56,,,
CYBERTECH,211.64,,,
CYIENT,7025.55,,,
CYIENTDLM,,,,
DABUR,59944.54,,,
DALBHARAT,,,,
DALMIASUG,859.17,,,
DATAMATICS,728.02,,,
DATAPATTNS,,,,
DBCORP,6024.09,,,
DBL,12495.29,,,
DBOL,,,,
DBREALTY,1297.79,,,
DCAL,5627.01,,,
DCBBANK,5188.30,,,
DCMNVL,,,,
DCMSHRIRAM,8867.11,,,
DCMSRIND,436.27,,,
DCW,875.11,,,
DCXINDIA,,,,
DECCANCE,814.54,,,
DEEDEV,,,,
DEEPAKFERT,3261.82,,,
DEEPAKNTR,3686.02,,,
DEEPINDS,,,,
DELHIVERY,,,,
