Index Name
NIFTY 50
NIFTY NEXT 50
NIFTY BANK
NIFTY FIN SERVICE
NIFTY MID SELECT
NIFTY 100
NIFTY 200
NIFTY 500
NIFTY MIDCAP 50
NIFTY MIDCAP 100
NIFTY SMLCAP 100
INDIA VIX
NIFTY MIDCAP 150
NIFTY SMLCAP 50
NIFTY SMLCAP 250
NIFTY MIDSML 400
NIFTY500 MULTICAP
NIFTY LARGEMID250
NIFTY TOTAL MKT
NIFTY MICROCAP250
NIFTY500 LMS EQL
NIFTY AUTO
NIFTY FINSRV25 50
NIFTY FMCG
NIFTY IT
NIFTY MEDIA
NIFTY METAL
NIFTY PHARMA
NIFTY PSU BANK
NIFTY PVT BANK
NIFTY REALTY
NIFTY HEALTHCARE
NIFTY CONSR DURBL
NIFTY OIL AND GAS
NIFTY MIDSML HLTH
NIFTY FINSEREXBNK
NIFTY MS FIN SERV
NIFTY MS IT TELCM
NIFTY DIV OPPS 50
NIFTY GROWSECT 15
NIFTY100 QUALTY30
NIFTY50 VALUE 20
NIFTY50 TR 2X LEV
NIFTY50 PR 2X LEV
NIFTY50 TR 1X INV
NIFTY50 PR 1X INV
NIFTY50 DIV POINT
NIFTY ALPHA 50
NIFTY50 EQL WGT
NIFTY100 EQL WGT
NIFTY100 LOWVOL30
NIFTY200 QUALTY30
NIFTY ALPHALOWVOL
NIFTY200MOMENTM30
NIFTY M150 QLTY50
NIFTY200 ALPHA 30
NIFTYM150MOMNTM50
NIFTY500MOMENTM50
NIFTYMS400 MQ 100
NIFTYSML250MQ 100
NIFTY TOP 10 EW
NIFTY AQL 30
NIFTY AQLV 30
NIFTY HIGHBETA 50
NIFTY LOW VOL 50
NIFTY QLTY LV 30
NIFTY SML250 Q50
NIFTY TOP 15 EW
NIFTY100 ALPHA 30
NIFTY200 VALUE 30
NIFTY500 EW
NIFTY MULTI MQ 50
NIFTY500 VALUE 50
NIFTY TOP 20 EW
NIFTY500 QLTY50
NIFTY500 LOWVOL50
NIFTY500 MQVLV50
NIFTY COMMODITIES
NIFTY CONSUMPTION
NIFTY CPSE
NIFTY ENERGY
NIFTY INFRA
NIFTY100 LIQ 15
NIFTY MID LIQ 15
NIFTY MNC
NIFTY PSE
NIFTY SERV SECTOR
NIFTY100ESGSECLDR
NIFTY IND DIGITAL
NIFTY100 ESG
NIFTY INDIA MFG
NIFTY TATA 25 CAP
NIFTY MULTI MFG
NIFTY MULTI INFRA
NIFTY IND DEFENCE
NIFTY IND TOURISM
NIFTY CAPITAL MKT
NIFTY EV
NIFTY NEW CONSUMP
NIFTY CORP MAATR
NIFTY MOBILITY
NIFTY100 ENH ESG
NIFTY COREHOUSING
NIFTY HOUSING
NIFTY IPO
NIFTY MS IND CONS
NIFTY NONCYC CONS
NIFTY RURAL
NIFTY SHARIAH 25
NIFTY TRANS LOGIS
NIFTY50 SHARIAH
NIFTY500 SHARIAH
NIFTY GS 8 13YR
NIFTY GS 10YR
NIFTY GS 10YR CLN
NIFTY GS 4 8YR
NIFTY GS 11 15YR
NIFTY GS 15YRPLUS
NIFTY GS COMPSITE
BHARATBOND-APR25
BHARATBOND-APR30
BHARATBOND-APR31
BHARATBOND-APR32
BHARATBOND-APR33
