Stock Symbol,Indices,,,
BEML,INDSTR,,,
BEPL,COMDTY,,,
BERGEPAINT,CDGS,,,
BFINVEST,FIN,,,
BFUTILITIE,"POWER, UTILS, FIN",,,
BHAGCHEM,COMDTY,,,
BHAGERIA,COMDTY,,,
BHARATFORG,"BSE CG, INDSTR",,,
BHARATRAS,"CDGS, COMDTY, INDSTR",,,
BHARATWIRE,INDSTR,,,
BHARTIARTL,"TECK, TELCOM",,,
BHARTIHEXA,"TECK, TELCOM",,,
BHEL,"BSE CG, POWER, INDSTR",,,
BIGBLOC,COMDTY,,,
BIKAJI,BSEFMC,,,
BIL,"BSEFMC, CDGS",,,
BIOCON,BSE HC,,,
BIRLACABLE,"BSE CG, INDSTR",,,
BIRLACORPN,COMDTY,,,
BIRLAMONEY,FIN,,,
BLAL,"CDGS, REALTY, INDSTR",,,
BLISSGVS,BSE HC,,,
BLKASHYAP,INDSTR,,,
BLS,CDGS,,,
BLSE,"BSE CG, INDSTR, BSE IT",,,
BLUEDART,ENERGY,,,
BLUEJET,BSE HC,,,
BLUESTARCO,"CDGS, BSE CD",,,
BODALCHEM,COMDTY,,,
BOMDYEING,CDGS,,,
BOROLTD,CDGS,,,
BORORENEW,INDSTR,,,
BOROSCI,"CDGS, BSE CD, BSE CG, INDSTR, TECK, TELCOM, BSE IT",,,
BOSCHLTD,"AUTO, CDGS",,,
BPCL,"OILGAS, ENERGY",,,
BPL,"BSE CG, INDSTR",,,
BRIGADE,"CDGS, REALTY",,,
BRITANNIA,BSEFMC,,,
BSE,FIN,,,
BSHSL,"BSEFMC, COMDTY",,,
BSOFT,BSE IT,,,
BUTTERFLY,"CDGS, BSE CD, BSE CG, INDSTR, TECK, TELCOM, BSE IT",,,
CAMLINFINE,COMDTY,,,
CAMPUS,CDGS,,,
CAMS,FIN,,,
CANBK,FIN,,,
CANFINHOME,FIN,,,
CANTABIL,"CDGS, REALTY, BSE CG, INDSTR",,,
CAPACITE,INDSTR,,,
CAPITALSFB,"BANKEX, FIN",,,
CAPLIPOINT,BSE HC,,,
CARBORUNIV,"BSE CG, INDSTR",,,
CAREERP,"BSE CG, INDSTR, BSE IT",,,
CARERATING,FIN,,,
CARTRADE,CDGS,,,
CARYSIL,"BSEFMC, CDGS",,,
CASTROLIND,ENERGY,,,
CCL,BSEFMC,,,
CDSL,FIN,,,
CEATLTD,CDGS,,,
CELLO,CDGS,,,
CENTENKA,"CDGS, REALTY, BSE CG, INDSTR",,,
CENTRALBK,FIN,,,
CENTRUM,FIN,,,
CENTUM,INDSTR,,,
CENTURYPLY,CDGS,,,
CENTURYTEX,COMDTY,,,
CERA,CDGS,,,
CESC,UTILS,,,
CGCL,FIN,,,
CGPOWER,"BSE CG, POWER, INDSTR",,,
CHALET,CDGS,,,
CHAMBLFERT,COMDTY,,,
CHEMBOND,"CDGS, COMDTY, INDSTR",,,
CHEMCON,COMDTY,,,
CHEMFAB,"CDGS, COMDTY, INDSTR",,,
CHEMPLASTS,COMDTY,,,
CHENNPETRO,ENERGY,,,
CHEVIOT,COMDTY,,,
CHOICEIN,FIN,,,
CHOLAFIN,FIN,,,
CHOLAHLDNG,FIN,,,
CIEINDIA,CDGS,,,
CIGNITITEC,BSE IT,,,
CIPLA,BSE HC,,,
CLEAN,COMDTY,,,
CLSEL,BSEFMC,,,
CMSINFO,"BSE IT, TECK, CDGS, FIN",,,
COALINDIA,"METAL, ENERGY",,,
COCHINSHIP,INDSTR,,,
COFFEEDAY,CDGS,,,
COFORGE,"BSE IT, TECK",,,
COLPAL,BSEFMC,,,
CONCOR,ENERGY,,,
CONCORDBIO,BSE HC,,,
CONFIPET,ENERGY,,,
CONSOFINVT,FIN,,,
CONTROLPR,BSE IT,,,
COROMANDEL,COMDTY,,,
COSMOFIRST,INDSTR,,,
CRAFTSMAN,CDGS,,,
CREATIVE,"BSE IT, TECK, CDGS, FIN",,,
CREDITACC,FIN,,,
CREST,FIN,,,
CRISIL,FIN,,,
CROMPTON,"CDGS, BSE CD",,,
CSBBANK,FIN,,,
CSLFINANCE,FIN,,,
CUB,FIN,,,
CUMMINSIND,"AUTO, INDSTR",,,
CUPID,"BSEFMC, CDGS",,,
CYBERTECH,"BSE IT, TECK, CDGS, FIN",,,
CYIENT,BSE IT,,,
CYIENTDLM,INDSTR,,,
DABUR,BSEFMC,,,
DALBHARAT,COMDTY,,,
DALMIASUG,BSEFMC,,,
DATAMATICS,BSE IT,,,
DATAPATTNS,INDSTR,,,
DBCORP,CDGS,,,
DBL,INDSTR,,,
DBOL,BSEFMC,,,
DBREALTY,CDGS,,,
DCAL,BSE HC,,,
DCBBANK,FIN,,,
DCMNVL,"CDGS, REALTY, BSE CG, INDSTR",,,
DCMSHRIRAM,INDSTR,,,
DCMSRIND,BSEFMC,,,
DCW,COMDTY,,,
DCXINDIA,INDSTR,,,
DECCANCE,COMDTY,,,
DEEDEV,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
DEEPAKFERT,COMDTY,,,
DEEPAKNTR,COMDTY,,,
DEEPENR,"OILGAS, ENERGY",,,
DEEPINDS,ENERGY,,,
DELHIVERY,ENERGY,,,
DELTACORP,CDGS,,,
DEN,"CDGS, TECK",,,
DENORA,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
DEVYANI,CDGS,,,
DHAMPURSUG,BSEFMC,,,
DHANBANK,"BANKEX, FIN",,,
DHANI,FIN,,,
DHANUKA,COMDTY,,,
DHARMAJ,COMDTY,,,
DHUNINV,FIN,,,
DIAMINESQ,"CDGS, COMDTY, INDSTR",,,
DIAMONDYD,BSEFMC,,,
