Stock Symbol,Indices,,,
KIRLOSIND,INDSTR,,,
KIRLPNU,INDSTR,,,
KITEX,"CDGS, REALTY, BSE CG, INDSTR",,,
KKCL,CDGS,,,
KNRCON,INDSTR,,,
KOKUYOCMLN,BSEFMC,,,
KOLTEPATIL,CDGS,,,
KOPRAN,BSE HC,,,
KOTAKBANK,"BANKEX, FIN",,,
KOTHARIPET,"OILGAS, ENERGY",,,
KOTHARIPRO,"COMDTY, BSEFMC",,,
KPIGREEN,UTILS,,,
KPIL,"BSE CG, INDSTR",,,
KPITTECH,BSE IT,,,
KPRMILL,CDGS,,,
KRBL,BSEFMC,,,
KRISHANA,"CDGS, COMDTY, INDSTR",,,
KRITI,INDSTR,,,
KRITIKA,"METAL, COMDTY, INDSTR, CDGS",,,
KRITINUT,"BSEFMC, CDGS",,,
KRONOX,"CDGS, COMDTY, INDSTR",,,
KRSNAA,BSE HC,,,
KRYSTAL,"BSE CG, INDSTR, BSE IT",,,
KSB,INDSTR,,,
KSCL,BSEFMC,,,
KSL,INDSTR,,,
KSOLVES,BSE IT,,,
KTKBANK,FIN,,,
KUANTUM,COMDTY,,,
LALPATHLAB,BSE HC,,,
LANDMARK,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
LAOPALA,CDGS,,,
LATENTVIEW,BSE IT,,,
LAURUSLABS,BSE HC,,,
LAXMIMACH,"BSE CG, INDSTR",,,
LEMONTREE,CDGS,,,
LGBBROSLTD,CDGS,,,
LGHL,"CDGS, BSE CD",,,
LIBERTSHOE,"CDGS, BSE CD",,,
LICHSGFIN,FIN,,,
LICI,FIN,,,
LIKHITHA,INDSTR,,,
LINC,BSEFMC,,,
LINCOLN,BSE HC,,,
LINDEINDIA,"COMDTY, OILGAS",,,
LLOYDSENGG,INDSTR,,,
LLOYDSME,COMDTY,,,
LODHA,"CDGS, REALTY",,,
LOKESHMACH,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
LT,"BSE CG, INDSTR",,,
LTF,FIN,,,
LTFOODS,BSEFMC,,,
LTIM,"BSE IT, TECK",,,
LTTS,BSE IT,,,
LUMAXIND,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
LUMAXTECH,CDGS,,,
LUPIN,BSE HC,,,
LUXIND,"CDGS, REALTY, BSE CG, INDSTR",,,
LXCHEM,COMDTY,,,
M&M,"AUTO, CDGS",,,
M&MFIN,FIN,,,
MAANALU,"METAL, COMDTY",,,
MACPOWER,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
MADRASFERT,"CDGS, COMDTY, INDSTR",,,
MAGADSUGAR,"BSEFMC, COMDTY",,,
MAHABANK,FIN,,,
MAHLIFE,"CDGS, REALTY",,,
MAHLOG,ENERGY,,,
MAHSCOOTER,FIN,,,
MAHSEAMLES,INDSTR,,,
MAITHANALL,COMDTY,,,
MALLCOM,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
MANAKSIA,"COMDTY, BSEFMC",,,
MANALIPETC,COMDTY,,,
MANAPPURAM,FIN,,,
MANGCHEFER,COMDTY,,,
MANGLMCEM,COMDTY,,,
MANINDS,INDSTR,,,
MANINFRA,INDSTR,,,
MANKIND,BSE HC,,,
MANORAMA,BSEFMC,,,
MANYAVAR,CDGS,,,
MAPMYINDIA,BSE IT,,,
MARATHON,"CDGS, REALTY, INDSTR",,,
MARICO,BSEFMC,,,
MARINE,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
MARKSANS,BSE HC,,,
MARUTI,"AUTO, CDGS",,,
MASFIN,FIN,,,
MASTEK,BSE IT,,,
MATRIMONY,"BSE IT, TECK, CDGS, FIN",,,
MAXESTATES,CDGS,,,
MAXHEALTH,BSE HC,,,
MAXIND,FIN,,,
MAYURUNIQ,"CDGS, REALTY, BSE CG, INDSTR",,,
MAZDA,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
MAZDOCK,INDSTR,,,
MBAPL,"CDGS, COMDTY, INDSTR",,,
MBLINFRA,"BSE CG, INDSTR",,,
MCX,FIN,,,
MEDANTA,BSE HC,,,
MEDIASSIST,"BSE CG, INDSTR, BSE IT",,,
MEDICAMEQ,BSE HC,,,
MEDPLUS,CDGS,,,
MEGASOFT,"BSE IT, TECK, CDGS, FIN",,,
MENONBE,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
METROBRAND,CDGS,,,
METROPOLIS,BSE HC,,,
MFSL,FIN,,,
MGL,ENERGY,,,
MHRIL,CDGS,,,
MICEL,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
MIDHANI,INDSTR,,,
MINDACORP,CDGS,,,
MINDTECK,"BSE IT, TECK, CDGS, FIN",,,
MIRZAINT,"CDGS, BSE CD",,,
MMFL,INDSTR,,,
MMP,"METAL, COMDTY",,,
MMTC,"COMDTY, BSEFMC",,,
MOIL,COMDTY,,,
MOL,COMDTY,,,
MOLDTECH,"BSE CG, INDSTR, BSE IT",,,
MOLDTKPAC,INDSTR,,,
MONARCH,FIN,,,
MONTECARLO,"CDGS, REALTY, BSE CG, INDSTR",,,
MOREPENLAB,BSE HC,,,
MOTHERSON,"AUTO, CDGS",,,
MOTILALOFS,FIN,,,
MOTISONS,"CDGS, BSE CD",,,
MPHASIS,"BSE IT, TECK",,,
MPSLTD,CDGS,,,
MRF,"AUTO, CDGS",,,
MRPL,ENERGY,,,
MSPL,"METAL, COMDTY, INDSTR, CDGS",,,
MSTCLTD,"BSE IT, TECK, CDGS, FIN",,,
MSUMI,CDGS,,,
MTARTECH,INDSTR,,,
MTNL,TELCOM,,,
MUFIN,FIN,,,
MUFTI,"COMDTY, BSEFMC",,,
MUKANDLTD,COMDTY,,,
MUKKA,"BSEFMC, CDGS",,,
MUNJALAU,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
MUNJALSHOW,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
MUTHOOTCAP,FIN,,,
MUTHOOTFIN,FIN,,,
MUTHOOTMF,FIN,,,
MVGJL,"COMDTY, BSEFMC",,,
NACLIND,COMDTY,,,
NAGAFERT,COMDTY,,,
NAHARCAP,FIN,,,
NAHARINDUS,"CDGS, REALTY, BSE CG, INDSTR",,,
NAHARPOLY,INDSTR,,,
NAHARSPING,"CDGS, REALTY, BSE CG, INDSTR",,,
NAM-INDIA,FIN,,,
NATCOPHARM,BSE HC,,,
NATIONALUM,COMDTY,,,
NAUKRI,CDGS,,,
NAVA,UTILS,,,
NAVINFLUOR,COMDTY,,,
NAVKARCORP,ENERGY,,,
NAVNETEDUL,CDGS,,,
NAZARA,CDGS,,,
NBCC,INDSTR,,,
NBIFIN,FIN,,,
NCC,INDSTR,,,
NCLIND,COMDTY,,,
NDL,"CDGS, REALTY, BSE CG, INDSTR",,,
NDRAUTO,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
NDTV,"CDGS, TECK",,,
NECLIFE,BSE HC,,,
NELCAST,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
NELCO,BSE IT,,,
NEOGEN,COMDTY,,,
NESCO,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
NESTLEIND,BSEFMC,,,
NETWEB,BSE IT,,,
NETWORK18,"CDGS, TECK",,,
NEULANDLAB,BSE HC,,,
NEWGEN,BSE IT,,,
NFL,COMDTY,,,
NGLFINE,BSE HC,,,
NH,BSE HC,,,
NHPC,"POWER, UTILS",,,
NIACL,FIN,,,
NIITLTD,"BSE IT, TECK, CDGS, FIN",,,
NIITMTS,CDGS,,,
NILKAMAL,CDGS,,,
NINSYS,"BSE IT, TECK, CDGS, FIN",,,
NITCO,"COMDTY, CDGS",,,
NITINSPIN,"CDGS, REALTY, BSE CG, INDSTR",,,
NLCINDIA,UTILS,,,
NMDC,"COMDTY, METAL",,,
NOCIL,COMDTY,,,
NOVAAGRI,"CDGS, COMDTY, INDSTR",,,
NRAIL,COMDTY,,,
NRBBEARING,CDGS,,,
NRL,"COMDTY, BSEFMC",,,
NSIL,FIN,,,
NSLNISP,COMDTY,,,
NTPC,"POWER, UTILS",,,
NUCLEUS,BSE IT,,,
NUVAMA,FIN,,,
NUVOCO,COMDTY,,,
NYKAA,CDGS,,,
OAL,COMDTY,,,
OBEROIRLTY,"CDGS, REALTY",,,
OFSS,BSE IT,,,
OIL,ENERGY,,,
OLECTRA,CDGS,,,
OMAXE,"CDGS, REALTY, INDSTR",,,
OMINFRAL,"BSE CG, INDSTR",,,
ONEPOINT,"BSE IT, TECK, CDGS, FIN",,,
ONGC,"OILGAS, ENERGY",,,
ONMOBILE,TELCOM,,,
ONWARDTEC,BSE IT,,,
OPTIEMUS,TELCOM,,,
ORCHPHARMA,BSE HC,,,
ORICONENT,"OILGAS, ENERGY",,,
ORIENTBELL,"COMDTY, CDGS",,,
ORIENTCEM,COMDTY,,,
ORIENTCER,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
ORIENTELEC,CDGS,,,
ORIENTHOT,CDGS,,,
ORIENTPPR,COMDTY,,,
ORISSAMINE,"METAL, ENERGY, COMDTY",,,
OSWALAGRO,"COMDTY, BSEFMC",,,
OSWALGREEN,FIN,,,
PAGEIND,CDGS,,,
PAISALO,FIN,,,
PAKKA,COMDTY,,,
PANACEABIO,BSE HC,,,
PANAMAPET,ENERGY,,,
PARACABLES,INDSTR,,,
PARADEEP,COMDTY,,,
PARAGMILK,BSEFMC,,,
PARAS,INDSTR,,,
PARKHOTELS,CDGS,,,
PARSVNATH,"CDGS, REALTY, INDSTR",,,
PATANJALI,BSEFMC,,,
PATELENG,INDSTR,,,
PAVNAIND,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
PAYTM,FIN,,,
PCBL,COMDTY,,,
PCJEWELLER,"CDGS, BSE CD",,,
PDMJEPAPER,COMDTY,,,
PDSL,CDGS,,,
PEL,FIN,,,
PENIND,INDSTR,,,
PENINLAND,"CDGS, REALTY, INDSTR",,,
PERSISTENT,"BSE IT, TECK",,,
PETRONET,"OILGAS, ENERGY",,,
PFC,FIN,,,
PFIZER,BSE HC,,,
PFOCUS,CDGS,,,
PFS,FIN,,,
PGEL,CDGS,,,
PGHH,BSEFMC,,,
PGHL,BSE HC,,,
PGIL,CDGS,,,
PHOENIXLTD,"CDGS, REALTY",,,
PIDILITIND,COMDTY,,,
PIIND,COMDTY,,,
PILANIINVS,FIN,,,
PITTIENG,INDSTR,,,
PIXTRANS,INDSTR,,,
PLASTIBLEN,"CDGS, COMDTY, INDSTR",,,
PLATIND,"CDGS, COMDTY, INDSTR",,,
PNB,FIN,,,
PNBGILTS,FIN,,,
PNBHOUSING,FIN,,,
PNCINFRA,INDSTR,,,
POCL,"METAL, COMDTY",,,
POKARNA,"COMDTY, CDGS",,,
POLICYBZR,FIN,,,
POLYCAB,"BSE CG, INDSTR",,,
POLYMED,BSE HC,,,
POLYPLEX,INDSTR,,,
POONAWALLA,FIN,,,
POWERGRID,"POWER, UTILS",,,
POWERINDIA,INDSTR,,,
POWERMECH,INDSTR,,,
PPL,INDSTR,,,
PPLPHARMA,BSE HC,,,
PRAJIND,"BSE CG, INDSTR",,,
PRAKASH,COMDTY,,,
PRECAM,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
PRECOT,"CDGS, REALTY, BSE CG, INDSTR",,,
PRECWIRE,INDSTR,,,
PREMEXPLN,"CDGS, COMDTY, INDSTR",,,
PRESTIGE,"CDGS, REALTY",,,
PRICOLLTD,CDGS,,,
PRIMESECU,FIN,,,
PRINCEPIPE,INDSTR,,,
PRIVISCL,COMDTY,,,
PRSMJOHNSN,COMDTY,,,
PRUDENT,FIN,,,
PSB,FIN,,,
PSPPROJECT,INDSTR,,,
PTC,UTILS,,,
PTCIL,INDSTR,,,
PTL,"BSE CG, INDSTR, BSE IT",,,
PUNJABCHEM,COMDTY,,,
PURVA,CDGS,,,
PVP,"CDGS, REALTY, INDSTR",,,
PVRINOX,"CDGS, TECK",,,
PVSL,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
PYRAMID,"BSEFMC, CDGS",,,
QUESS,"BSE IT, TECK, CDGS, FIN",,,
QUICKHEAL,BSE IT,,,
RACE,"BSE CG, INDSTR, BSE IT",,,
RADHIKAJWE,"CDGS, BSE CD",,,
RADIANTCMS,FIN,,,
RADICO,BSEFMC,,,
RADIOCITY,"CDGS, TECK",,,
RAILTEL,TELCOM,,,
RAIN,COMDTY,,,
RAINBOW,BSE HC,,,
RAJESHEXPO,"CDGS, BSE CD",,,
RAJRATAN,CDGS,,,
RAJRILTD,"CDGS, REALTY, BSE CG, INDSTR",,,
RALLIS,COMDTY,,,
RAMASTEEL,INDSTR,,,
RAMCOCEM,COMDTY,,,
RAMCOIND,COMDTY,,,
RAMCOSYS,BSE IT,,,
RAMKY,INDSTR,,,
RAMRAT,"METAL, COMDTY",,,
RANEHOLDIN,FIN,,,
RATEGAIN,BSE IT,,,
RATNAMANI,INDSTR,,,
RATNAVEER,"METAL, COMDTY, INDSTR, CDGS",,,
RAYMOND,CDGS,,,
RBA,CDGS,,,
RBL,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
RBLBANK,FIN,,,
RBZJEWEL,"CDGS, BSE CD",,,
RCF,COMDTY,,,
RECLTD,FIN,,,
REDINGTON,"COMDTY, BSEFMC",,,
REDTAPE,CDGS,,,
REFEX,COMDTY,,,
RELAXO,CDGS,,,
RELIANCE,"OILGAS, ENERGY",,,
RELIGARE,FIN,,,
RELINFRA,UTILS,,,
REMSONSIND,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
RENUKA,BSEFMC,,,
REPCOHOME,FIN,,,
REPRO,"CDGS, TECK",,,
RESPONIND,CDGS,,,
RGL,"CDGS, BSE CD",,,
RHIM,INDSTR,,,
RICOAUTO,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
RIIL,"BSE CG, INDSTR",,,
RISHABH,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
RITCO,ENERGY,,,
RITES,INDSTR,,,
RKFORGE,INDSTR,,,
RKSWAMY,"BSE CG, INDSTR, BSE IT",,,
RML,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
ROHLTD,CDGS,,,
ROLEXRINGS,CDGS,,,
ROSSARI,COMDTY,,,
ROSSELLIND,INDSTR,,,
ROTO,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
ROUTE,"TECK, TELCOM",,,
RPGLIFE,BSE HC,,,
RPOWER,UTILS,,,
RPPINFRA,"CDGS, REALTY, INDSTR",,,
RPSGVENT,"BSE IT, TECK, CDGS, FIN",,,
RPTECH,"COMDTY, BSEFMC",,,
RRKABEL,INDSTR,,,
RSSOFTWARE,"BSE IT, TECK, CDGS, FIN",,,
RSWM,"CDGS, REALTY, BSE CG, INDSTR",,,
RSYSTEMS,BSE IT,,,
RTNINDIA,"BSE CG, INDSTR, BSE IT",,,
RTNPOWER,UTILS,,,
RUBYMILLS,"CDGS, REALTY, BSE CG, INDSTR",,,
RUPA,"CDGS, REALTY, BSE CG, INDSTR",,,
RUSHIL,"COMDTY, CDGS",,,
RUSTOMJEE,CDGS,,,
RVNL,"BSE CG, INDSTR",,,
SADBHAV,"BSE CG, INDSTR",,,
SADHNANIQ,COMDTY,,,
SAFARI,CDGS,,,
SAGCEM,COMDTY,,,
SAIL,"COMDTY, METAL",,,
SAKAR,BSE HC,,,
SAKSOFT,"BSE IT, TECK, CDGS, FIN",,,
SAKUMA,"COMDTY, BSEFMC",,,
SALASAR,INDSTR,,,
SALZERELEC,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
SAMHI,CDGS,,,
SANDESH,"CDGS, TECK",,,
SANDHAR,CDGS,,,
SANDUMA,ENERGY,,,
SANGAMIND,"CDGS, REALTY, BSE CG, INDSTR",,,
SANGHIIND,COMDTY,,,
SANGHVIMOV,INDSTR,,,
SANOFI,BSE HC,,,
SANSERA,CDGS,,,
SAPPHIRE,CDGS,,,
SARDAEN,COMDTY,,,
SAREGAMA,CDGS,,,
SARLAPOLY,"CDGS, REALTY, BSE CG, INDSTR",,,
SARVESHWAR,"BSEFMC, CDGS",,,
SASKEN,BSE IT,,,
SASTASUNDR,BSE HC,,,
SATIA,COMDTY,,,
SATIN,FIN,,,
SATINDLTD,FIN,,,
SAURASHCEM,"COMDTY, CDGS",,,
SBC,"CDGS, REALTY, BSE CG, INDSTR",,,
SBCL,INDSTR,,,
SBFC,FIN,,,
SBICARD,FIN,,,
SBILIFE,FIN,,,
SBIN,"BANKEX, FIN",,,
SCHAEFFLER,"BSE CG, CDGS",,,
SCHAND,"CDGS, TECK",,,
SCHNEIDER,INDSTR,,,
SCI,ENERGY,,,
SCILAL,ENERGY,,,
SCPL,"BSEFMC, CDGS",,,
SDBL,BSEFMC,,,
SEAMECLTD,ENERGY,,,
SELAN,"OILGAS, ENERGY",,,
SENCO,CDGS,,,
SEPC,INDSTR,,,
SEQUENT,BSE HC,,,
SERVOTECH,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
SESHAPAPER,COMDTY,,,
SFL,CDGS,,,
SGIL,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
SHAILY,INDSTR,,,
SHAKTIPUMP,INDSTR,,,
SHALBY,BSE HC,,,
SHALPAINTS,"CDGS, COMDTY, INDSTR",,,
SHANKARA,"METAL, COMDTY, INDSTR, CDGS",,,
SHANTIGEAR,INDSTR,,,
SHARDACROP,COMDTY,,,
SHARDAMOTR,CDGS,,,
SHAREINDIA,FIN,,,
SHILPAMED,BSE HC,,,
SHIVALIK,COMDTY,,,
SHIVAMAUTO,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
SHK,BSEFMC,,,
SHOPERSTOP,CDGS,,,
SHREDIGCEM,COMDTY,,,
SHREECEM,COMDTY,,,
SHREEPUSHK,COMDTY,,,
SHREYAS,ENERGY,,,
SHRIPISTON,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
SHRIRAMFIN,FIN,,,
SHRIRAMPPS,"CDGS, REALTY, INDSTR",,,
SHYAMMETL,COMDTY,,,
SIEMENS,"BSE CG, POWER, INDSTR",,,
SIGACHI,BSE HC,,,
SIGNATURE,CDGS,,,
SIGNPOST,"BSE CG, INDSTR, BSE IT",,,
SILINV,FIN,,,
SILVERTUC,"CDGS, BSE CD, BSE CG, INDSTR, TECK, TELCOM, BSE IT",,,
SIMPLEXINF,"BSE CG, INDSTR",,,
SINCLAIR,CDGS,,,
SINDHUTRAD,FIN,,,
SIRCA,"COMDTY, BSEFMC",,,
SIS,"BSE CG, INDSTR, BSE IT",,,
SIYSIL,"CDGS, REALTY, BSE CG, INDSTR",,,
SJS,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
SJVN,UTILS,,,
SKFINDIA,"BSE CG, INDSTR",,,
SKIPPER,INDSTR,,,
SKMEGGPROD,"BSEFMC, CDGS",,,
SKYGOLD,"CDGS, BSE CD",,,
SMCGLOBAL,FIN,,,
SMLISUZU,INDSTR,,,
SMSPHARMA,BSE HC,,,
SNOWMAN,ENERGY,,,
SOBHA,"CDGS, REALTY",,,
SOLARA,BSE HC,,,
SOLARINDS,COMDTY,,,
SOMANYCERA,CDGS,,,
SONACOMS,"BSE CG, CDGS",,,
SONATSOFTW,BSE IT,,,
SOTL,ENERGY,,,
SOUTHBANK,FIN,,,
SPAL,"CDGS, REALTY, BSE CG, INDSTR",,,
SPANDANA,FIN,,,
SPARC,BSE HC,,,
SPCENET,"COMDTY, BSEFMC",,,
SPECIALITY,CDGS,,,
SPENCERS,"CDGS, BSE CD",,,
SPIC,"CDGS, COMDTY, INDSTR",,,
SPLPETRO,COMDTY,,,
SPMLINFRA,"BSE CG, INDSTR",,,
SPORTKING,"CDGS, REALTY, BSE CG, INDSTR",,,
SREEL,"CDGS, BSE CD",,,
SRF,COMDTY,,,
SRGHFL,FIN,,,
SRHHYPOLTD,COMDTY,,,
SSWL,CDGS,,,
STANLEY,"BSEFMC, CDGS",,,
STAR,BSE HC,,,
STARCEMENT,COMDTY,,,
STARHEALTH,FIN,,,
STCINDIA,"COMDTY, BSEFMC",,,
STEELCAS,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
STEELXIND,"METAL, COMDTY, INDSTR, CDGS",,,
STEL,FIN,,,
STERTOOLS,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
STLTECH,"TECK, TELCOM",,,
STOVEKRAFT,"CDGS, BSE CD, BSE CG, INDSTR, TECK, TELCOM, BSE IT",,,
STYLAMIND,COMDTY,,,
STYRENIX,COMDTY,,,
SUBEXLTD,BSE IT,,,
SUBROS,CDGS,,,
SUDARSCHEM,COMDTY,,,
SUKHJITS,BSEFMC,,,
SULA,BSEFMC,,,
SUMICHEM,COMDTY,,,
SUMMITSEC,FIN,,,
SUNCLAY,CDGS,,,
SUNDARMFIN,FIN,,,
SUNDARMHLD,FIN,,,
SUNDRMFAST,"AUTO, CDGS",,,
SUNFLAG,COMDTY,,,
SUNPHARMA,BSE HC,,,
SUNTECK,CDGS,,,
SUNTV,"CDGS, TECK",,,
SUPRAJIT,CDGS,,,
SUPREMEIND,INDSTR,,,
SUPRIYA,BSE HC,,,
SURAJEST,"CDGS, REALTY, INDSTR",,,
SURYAROSNI,INDSTR,,,
SURYODAY,FIN,,,
SUTLEJTEX,"CDGS, REALTY, BSE CG, INDSTR",,,
SUVEN,BSE HC,,,
SUVENPHAR,BSE HC,,,
SUZLON,"BSE CG, POWER, INDSTR",,,
SWANENERGY,"CDGS, REALTY",,,
SWARAJENG,INDSTR,,,
SWELECTES,"BSE CG, INDSTR",,,
SWSOLAR,INDSTR,,,
SYMPHONY,CDGS,,,
SYNCOMF,BSE HC,,,
SYNGENE,BSE HC,,,
SYRMA,INDSTR,,,
TAJGVK,CDGS,,,
TALBROAUTO,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
TANLA,"BSE IT, TECK",,,
TARACHAND,ENERGY,,,
TARC,CDGS,,,
TARSONS,BSE HC,,,
TASTYBITE,BSEFMC,,,
TATACHEM,COMDTY,,,
TATACOMM,"TECK, TELCOM",,,
TATACONSUM,BSEFMC,,,
TATAELXSI,"BSE IT, TECK",,,
TATAINVEST,FIN,,,
TATAMOTORS,"AUTO, CDGS",,,
TATAMTRDVR,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
TATAPOWER,"POWER, UTILS",,,
TATASTEEL,"COMDTY, METAL",,,
TATATECH,BSE IT,,,
TATVA,COMDTY,,,
TBOTEK,CDGS,,,
TBZ,"CDGS, BSE CD",,,
TCI,ENERGY,,,
TCIEXP,ENERGY,,,
TCLCONS,"BSE CG, INDSTR",,,
TCNSBRANDS,CDGS,,,
TCPLPACK,INDSTR,,,
TCS,"BSE IT, TECK",,,
TDPOWERSYS,INDSTR,,,
TEAMLEASE,"BSE CG, INDSTR, BSE IT",,,
TECHM,"BSE IT, TECK",,,
TECHNOE,INDSTR,,,
TEGA,INDSTR,,,
TEJASNET,"TECK, TELCOM",,,
TEXINFRA,INDSTR,,,
TEXRAIL,INDSTR,,,
TFCILTD,FIN,,,
THANGAMAYL,CDGS,,,
THEINVEST,FIN,,,
THEJO,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
THEMISMED,BSE HC,,,
THERMAX,"BSE CG, INDSTR",,,
THOMASCOOK,CDGS,,,
THYROCARE,BSE HC,,,
TI,BSEFMC,,,
TIDEWATER,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
TIIL,INDSTR,,,
TIINDIA,"AUTO, CDGS",,,
TIMETECHNO,INDSTR,,,
TIMKEN,"BSE CG, INDSTR",,,
TIPSINDLTD,CDGS,,,
TIRUMALCHM,COMDTY,,,
TITAGARH,INDSTR,,,
TITAN,"CDGS, BSE CD",,,
TMB,FIN,,,
TNPETRO,COMDTY,,,
TNPL,COMDTY,,,
TORNTPHARM,BSE HC,,,
TORNTPOWER,UTILS,,,
TPLPLASTEH,INDSTR,,,
TRACXN,"BSE IT, TECK, CDGS, FIN",,,
TREL,"CDGS, REALTY, INDSTR",,,
TRENT,CDGS,,,
TRIDENT,CDGS,,,
TRIL,INDSTR,,,
TRITURBINE,INDSTR,,,
TRIVENI,BSEFMC,,,
TRU,FIN,,,
TTKHLTCARE,INDSTR,,,
TTKPRESTIG,CDGS,,,
TTML,"TECK, TELCOM",,,
TV18BRDCST,"CDGS, TECK",,,
TVSELECT,BSE IT,,,
TVSHLTD,CDGS,,,
TVSMOTOR,"AUTO, CDGS",,,
TVSSCS,ENERGY,,,
TVSSRICHAK,CDGS,,,
TVTODAY,"CDGS, TECK",,,
UBL,BSEFMC,,,
UCOBANK,FIN,,,
UDS,"BSE CG, INDSTR, BSE IT",,,
UFLEX,INDSTR,,,
UFO,"CDGS, TECK",,,
UGARSUGAR,BSEFMC,,,
UGROCAP,FIN,,,
UJJIVANSFB,FIN,,,
ULTRACEMCO,COMDTY,,,
UNICHEMLAB,BSE HC,,,
UNIENTER,"COMDTY, BSEFMC",,,
UNIONBANK,FIN,,,
UNIPARTS,INDSTR,,,
UNITDSPR,BSEFMC,,,
UNITECH,"CDGS, REALTY, INDSTR",,,
UNIVCABLES,INDSTR,,,
UNOMINDA,CDGS,,,
UPL,COMDTY,,,
URAVI,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
URJA,"POWER, UTILS, FIN",,,
USHAMART,INDSTR,,,
UTIAMC,FIN,,,
UTKARSHBNK,FIN,,,
UTTAMSUGAR,BSEFMC,,,
V2RETAIL,"CDGS, BSE CD",,,
VADILALIND,BSEFMC,,,
VAIBHAVGBL,CDGS,,,
VAKRANGEE,BSE IT,,,
VALIANTLAB,BSE HC,,,
VALIANTORG,COMDTY,,,
VARROC,CDGS,,,
VASCONEQ,"BSE CG, INDSTR",,,
VBL,BSEFMC,,,
VEDL,"COMDTY, METAL",,,
VENKEYS,BSEFMC,,,
VENUSPIPES,INDSTR,,,
VERANDA,"BSE CG, INDSTR, BSE IT",,,
VERTOZ,"CDGS, TECK",,,
VESUVIUS,INDSTR,,,
VGUARD,"BSE CG, CDGS",,,
VHL,FIN,,,
VIDHIING,COMDTY,,,
VIJAYA,BSE HC,,,
VIKASECO,"CDGS, COMDTY, INDSTR",,,
VIKASLIFE,"OILGAS, ENERGY",,,
VIMTALABS,BSE HC,,,
VINATIORGA,COMDTY,,,
VINDHYATEL,TELCOM,,,
VINYLINDIA,COMDTY,,,
VIPIND,"CDGS, BSE CD",,,
VIPULLTD,"CDGS, REALTY, INDSTR",,,
VISAKAIND,COMDTY,,,
VISHNU,COMDTY,,,
VLEGOV,ENERGY,,,
VLSFINANCE,FIN,,,
VMART,CDGS,,,
VOLTAMP,INDSTR,,,
VOLTAS,"CDGS, BSE CD",,,
VPRPL,INDSTR,,,
VRLLOG,ENERGY,,,
VSSL,INDSTR,,,
VSTIND,BSEFMC,,,
VSTTILLERS,INDSTR,,,
VTL,CDGS,,,
WABAG,UTILS,,,
WALCHANNAG,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
WANBURY,BSE HC,,,
WEALTH,FIN,,,
WEBELSOLAR,"BSE CG, INDSTR",,,
WELCORP,INDSTR,,,
WELENT,INDSTR,,,
WELSPUNLIV,CDGS,,,
WENDT,INDSTR,,,
WESTLIFE,CDGS,,,
WHEELS,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
WHIRLPOOL,"CDGS, BSE CD",,,
WINDLAS,BSE HC,,,
WINDMACHIN,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
WIPRO,"BSE IT, TECK",,,
WOCKPHARMA,BSE HC,,,
WONDERLA,CDGS,,,
WSI,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
WSTCSTPAPR,COMDTY,,,
